,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
秀山县,1,0,1,0,0,,,,
未明确地区,0,0,0,0,0,,,,
开州,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
开县,0,0,0,0,0,,,,
永川,0,0,0,0,0,,,,
合川,0,0,0,0,0,,,,
江津,0,0,0,0,0,,,,
长寿,0,0,0,0,0,,,,
南川,0,0,0,0,0,,,,
九龙坡,0,0,0,0,0,,,,
沙坪坝,0,0,0,0,0,,,,
江北,0,0,0,0,0,,,,
北碚,0,0,0,0,0,,,,
南岸,0,0,0,0,0,,,,
綦江,0,0,0,0,0,,,,
黔江,0,0,0,0,0,,,,
巴南,0,0,0,0,0,,,,
渝北,0,0,0,0,0,,,,
大足,0,0,0,0,0,,,,
渝中,0,0,0,0,0,,,,
涪陵,0,0,0,0,0,,,,
万州,0,0,0,0,0,,,,
吉林,541,0,189,3,0,0.0,,,
通化,288,0,39,1,0,,,,
长春,143,0,46,0,0,,,,
长春市,70,0,45,0,0,,,,
通化市,64,0,6,0,0,,,,
吉林,48,0,47,1,0,,,,
未明确地区,46,0,0,0,0,,,,
境外输入,19,0,19,0,0,,,,
四平,17,0,16,1,0,,,,
辽源,7,0,7,0,0,,,,
松原,6,0,2,0,0,,,,
公主岭,6,0,6,0,0,,,,
延边,5,0,5,0,0,,,,
白城,1,0,1,0,0,,,,
梅河口市,1,0,1,0,0,,,,
白山,0,0,0,0,0,,,,
梅河口,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
福建,539,0,523,1,0,0.0,,,
境外输入,243,0,228,0,0,,,,
福州,72,0,71,1,0,,,,
莆田,56,0,56,0,0,,,,
泉州,47,0,47,0,0,,,,
厦门,35,0,35,0,0,,,,
宁德,26,0,26,0,0,,,,
南平,20,0,20,0,0,,,,
漳州,20,0,20,0,0,,,,
三明,14,0,14,0,0,,,,
龙岩,6,0,6,0,0,,,,
未明确地区,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
陕西,537,0,511,3,0,0.0,,,
境外输入,290,0,269,0,0,,,,
西安,120,0,117,3,0,,,,
汉中,26,0,26,0,0,,,,
安康,26,0,26,0,0,,,,
咸阳,17,0,17,0,0,,,,
渭南,17,0,15,0,0,,,,
宝鸡,13,0,13,0,0,,,,
铜川,8,0,8,0,0,,,,
延安,8,0,8,0,0,,,,
商洛,7,0,7,0,0,,,,
榆林,3,0,3,0,0,,,,
韩城,1,0,1,0,0,,,,
杨凌,1,0,1,0,0,,,,
未明确地区,0,0,0,0,0,,,,
杨凌示范区,0,0,0,0,0,,,,
韩城市,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
辽宁,400,0,384,2,0,0.0,,,
大连,161,0,161,0,0,,,,
境外输入,89,0,74,0,0,,,,
沈阳,70,0,70,0,0,,,,
锦州,12,0,12,0,0,,,,
葫芦岛,12,0,11,1,0,,,,
丹东,11,0,11,0,0,,,,
盘锦,11,0,11,0,0,,,,
阜新,8,0,8,0,0,,,,
铁岭,8,0,8,0,0,,,,
朝阳市,6,0,5,1,0,,,,
鞍山,4,0,4,0,0,,,,
本溪,3,0,3,0,0,,,,
